response_id,q3_individual_1,q3_several_1,q3_several_2,q3_several_3,q3_several_4,q3_several_5,q3_several_6
R_1MEiTDdy7UTusoz,NA,University of California Santa Barbara,California Ocean Protection Council,The Nature Conservancy,California Sea Grant,Kelp Forest Alliance,NA
R_63xyPC8raLCzUR1,Moss Landing Marine Laboratories,NA,NA,NA,NA,NA,NA
R_71ZSMnpmiNQkwhl,US Geological Survey,NA,NA,NA,NA,NA,NA
R_3SqxcM3L5G1Hkiy,Sea Otter Savvy,NA,NA,NA,NA,NA,NA
R_7BdO5e21cQnIEsp,NA,California State Parks,Marine Protected Area Collaborative Network,Surfrider Foundation - Surfrider Monterey,Monterey Bay Whale Watch,NA,NA
R_7q9JnKZUw5OSGcN,NA,University of California San Diego - Scripps Institution of Oceanography,University of California San Diego,NA,NA,NA,NA
R_3qIDU2i8sWSWYdH,NA,Above/Below,The Nature Conservancy,North Coast Kelp Fest,NA,NA,NA
R_3QnZ5K8fvmiL7kI,Ocean Science Trust,NA,NA,NA,NA,NA,NA
R_7lh0XhvWbwdIn1Y,GreenWave,NA,NA,NA,NA,NA,NA
R_1hs7JSWr4eiznRB,"Vantuna Research Group, Occidental College",NA,NA,NA,NA,NA,NA
R_3iPGxjt8gAiTFfa,NA,Reef Check,Watermen's Alliance,NA,NA,NA,NA
R_52444gPAZLZqeP3,NOAA Office of National Marine Sanctuaries,NA,NA,NA,NA,NA,NA
R_3eavCPS10YuL9kK,NA,Greater Farallones Association,Greater Farallones National Marine Sanctuary,Individual: Diver,NA,NA,NA
R_1LLVDCfsYqnIq9H,Get Inspired,NA,NA,NA,NA,NA,NA
R_7pg4O4BWvAUGjnI,NA,Moss Landing Marine Laboratories,NA,NA,NA,NA,NA
R_3fik1PPOQ9o67SN,California Ocean Protection Council,NA,NA,NA,NA,NA,NA
R_1GBVWsZocl0VprB,NA,The Cultured Abalone Farm,Ocean Rainforest,Kelp Restoration and Management Plan Community Working Group,NA,NA,NA
R_3rlB6ugHMc8cqTQ,NA,Sonoma State University,Moss Landing Marine Laboratories,Greater Farallones Association,The Nature Conservancy,University of California Davis - Bodega Marine Laboratory,NA
R_7JW5UqsrkFfRVRL,California State University Long Beach,NA,NA,NA,NA,NA,NA
R_3DhYjkyoy2NGWSY,Reef Check,NA,NA,NA,NA,NA,NA
R_73yGa8USaSXYR0T,NA,University of California Santa Cruz,University of California Davis,California Department of Fish and Wildlife,Partnership for Interdisciplinary Studies of Coastal Oceans,Monterey Bay National Marine Sanctuary,California Ocean Protection Council
R_6EiII1xTL6KeHm5,California Department of Fish and Wildlife,NA,NA,NA,NA,NA,NA
R_5U9lfj3LrOD0i2J,NA,Reef Check,Heal the Bay,NA,NA,NA,NA
R_3OJIfjza4it1gCi,Reef Check,NA,NA,NA,NA,NA,NA
R_7dozP0EKqBG9GRL,Reef Check,NA,NA,NA,NA,NA,NA
R_7N1Uusw5TPiIBZ4,Reef Check,NA,NA,NA,NA,NA,NA
R_7upUSPV19KS9FVh,NA,Reef Check,Giant Giant Kelp Restoration Project,Moss Landing Marine Laboratories - Sunflower Star Laboratory,NA,NA,NA
R_5dnbJSY7qhuMdsB,University of California Santa Barbara,NA,NA,NA,NA,NA,NA
R_3m8cpnX5GwI23sd,NA,Reef Check,Giant Giant Kelp Restoration Project,NA,NA,NA,NA
R_1DOJ10bxtj6sNhY,Reef Check,NA,NA,NA,NA,NA,NA
R_5FhTzZKdRpehlyQ,Reef Check,NA,NA,NA,NA,NA,NA
R_3LUnnAPha1ecSLG,Reef Check,NA,NA,NA,NA,NA,NA
R_6EPTJ59BfL4cJQM,NA,Reef Check,Giant Giant Kelp Restoration Project,NA,NA,NA,NA
R_1zLIhDKBlnrUIRX,Reef Check,NA,NA,NA,NA,NA,NA
R_1c7TocEKUk7HhUB,Reef Check,NA,NA,NA,NA,NA,NA
