response_id,org_name,q3_individual_1,q3_several_1,q3_several_2,q3_several_3,q3_several_4,q3_several_5,q3_several_6,multi_org
R_63xyPC8raLCzUR1,Moss Landing Marine Laboratories,Moss Landing Marine Laboratories,NA,NA,NA,NA,NA,NA,NA
R_71ZSMnpmiNQkwhl,US Geological Survey,US Geological Survey,NA,NA,NA,NA,NA,NA,NA
R_3SqxcM3L5G1Hkiy,Sea Otter Savvy,Sea Otter Savvy,NA,NA,NA,NA,NA,NA,NA
R_7BdO5e21cQnIEsp,California State Parks,NA,California State Parks,Marine Protected Area Collaborative Network,Surfrider Foundation - Surfrider Monterey,Monterey Bay Whale Watch,NA,NA,"California State Parks,Marine Protected Area Collaborative Network,Surfrider Foundation - Surfrider Monterey,Monterey Bay Whale Watch"
R_7q9JnKZUw5OSGcN,University of California San Diego - Scripps Institution of Oceanography,NA,University of California San Diego - Scripps Institution of Oceanography,NA,NA,NA,NA,NA,University of California San Diego - Scripps Institution of Oceanography
R_3qIDU2i8sWSWYdH,Above/Below,NA,Above/Below,The Nature Conservancy,North Coast Kelp Fest,NA,NA,NA,"Above/Below,The Nature Conservancy,North Coast Kelp Fest"
R_3QnZ5K8fvmiL7kI,Ocean Science Trust,Ocean Science Trust,NA,NA,NA,NA,NA,NA,NA
R_7lh0XhvWbwdIn1Y,GreenWave,GreenWave,NA,NA,NA,NA,NA,NA,NA
R_1hs7JSWr4eiznRB,"Vantuna Research Group, Occidental College","Vantuna Research Group, Occidental College",NA,NA,NA,NA,NA,NA,NA
R_3iPGxjt8gAiTFfa,Reef Check,NA,Reef Check,Watermen's Alliance,NA,NA,NA,NA,"Reef Check,Watermen's Alliance"
R_52444gPAZLZqeP3,NOAA Office of National Marine Sanctuaries,NOAA Office of National Marine Sanctuaries,NA,NA,NA,NA,NA,NA,NA
R_3eavCPS10YuL9kK,Greater Farallones Association,NA,Greater Farallones Association,Greater Farallones National Marine Sanctuary,Individual: Diver,NA,NA,NA,"Greater Farallones Association,Greater Farallones National Marine Sanctuary,Individual: Diver"
R_1LLVDCfsYqnIq9H,Get Inspired,Get Inspired,NA,NA,NA,NA,NA,NA,NA
R_7pg4O4BWvAUGjnI,Moss Landing Marine Laboratories,NA,Moss Landing Marine Laboratories,NA,NA,NA,NA,NA,Moss Landing Marine Laboratories
R_3fik1PPOQ9o67SN,California Ocean Protection Council,California Ocean Protection Council,NA,NA,NA,NA,NA,NA,NA
R_1GBVWsZocl0VprB,The Cultured Abalone Farm,NA,The Cultured Abalone Farm,Ocean Rainforest,Kelp Restoration and Management Plan Community Working Group,NA,NA,NA,"The Cultured Abalone Farm,Ocean Rainforest,Kelp Restoration and Management Plan Community Working Group"
R_3rlB6ugHMc8cqTQ,Sonoma State University,NA,Sonoma State University,Moss Landing Marine Laboratories,Greater Farallones Association,The Nature Conservancy,University of California Davis - Bodega Marine Laboratory,NA,"Sonoma State University,Moss Landing Marine Laboratories,Greater Farallones Association,The Nature Conservancy,University of California Davis - Bodega Marine Laboratory"
R_7JW5UqsrkFfRVRL,California State University Long Beach,California State University Long Beach,NA,NA,NA,NA,NA,NA,NA
R_3DhYjkyoy2NGWSY,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_73yGa8USaSXYR0T,University of California Santa Cruz,NA,University of California Santa Cruz,University of California Davis,California Department of Fish and Wildlife,Partnership for Interdisciplinary Studies of Coastal Oceans,Monterey Bay National Marine Sanctuary,California Ocean Protection Council,"University of California Santa Cruz,University of California Davis,California Department of Fish and Wildlife,Partnership for Interdisciplinary Studies of Coastal Oceans,Monterey Bay National Marine Sanctuary,California Ocean Protection Council"
R_6EiII1xTL6KeHm5,California Department of Fish and Wildlife,California Department of Fish and Wildlife,NA,NA,NA,NA,NA,NA,NA
R_5U9lfj3LrOD0i2J,Reef Check,NA,Reef Check,Heal the Bay,NA,NA,NA,NA,"Reef Check,Heal the Bay"
R_3OJIfjza4it1gCi,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_7dozP0EKqBG9GRL,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_7N1Uusw5TPiIBZ4,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_7upUSPV19KS9FVh,Reef Check,NA,Reef Check,Giant Giant Kelp Restoration Project,Moss Landing Marine Laboratories - Sunflower Star Laboratory,NA,NA,NA,"Reef Check,Giant Giant Kelp Restoration Project,Moss Landing Marine Laboratories - Sunflower Star Laboratory"
R_3m8cpnX5GwI23sd,Reef Check,NA,Reef Check,Giant Giant Kelp Restoration Project,NA,NA,NA,NA,"Reef Check,Giant Giant Kelp Restoration Project"
R_1DOJ10bxtj6sNhY,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_5FhTzZKdRpehlyQ,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_3LUnnAPha1ecSLG,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_6EPTJ59BfL4cJQM,Reef Check,NA,Reef Check,Giant Giant Kelp Restoration Project,NA,NA,NA,NA,"Reef Check,Giant Giant Kelp Restoration Project"
R_1zLIhDKBlnrUIRX,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_1c7TocEKUk7HhUB,Reef Check,Reef Check,NA,NA,NA,NA,NA,NA,NA
R_38BizK7TnctWB0Z,Moss Landing Marine Laboratories,Moss Landing Marine Laboratories,NA,NA,NA,NA,NA,NA,NA
R_3cBAzkvBbrEzWDq,California Fish and Game Commission,California Fish and Game Commission,NA,NA,NA,NA,NA,NA,NA
R_3LjybcSyBNIJe9f,Reef Check,NA,Reef Check,Giant Giant Kelp Restoration Project,NA,NA,NA,NA,"Reef Check,Giant Giant Kelp Restoration Project"
