num_id,ResponseId,org_name,type,alter,edge_type
671,R_1OwaKPJzCpBm5QR,California State Polytechnic University Humboldt,Q12_2,Above/Below,coordination
170,R_7pg4O4BWvAUGjnI,Moss Landing Marine Laboratories,Q11_9,Above/Below,collaboration
554,R_3XLt3StxxpmyZDX,The Nature Conservancy,Q11_6,Above/Below,collaboration
910,R_5J96mgzzSF0Ec4h,The Nature Conservancy,Q11_10,Above/Below,collaboration
497,R_1alPAkiq0nTZhyg,University of Washington - Friday Harbor Laboratories,Q12_1,Above/Below,coordination
919,R_5J96mgzzSF0Ec4h,The Nature Conservancy,Q12_9,Above/Below: Marianna Leuschel,coordination
626,R_50sTP7MIe3Y7drH,University of Wisconsin Milwaukee,Q11_5,AltaSeads Conservancy,collaboration
157,R_1LLVDCfsYqnIq9H,Get Inspired,Q11_6,AltaSeads Conservancy: Sergey Nuzhdin,collaboration
834,R_6tLmKtUmSAbqmXf,University of California Berkeley,Q13_3,Amah Mutsun Land Trust,communication
740,R_26wgmjAkC5Gh4v7,University of California Davis,Q11_2,Anthropocene Institute,collaboration
455,R_51QOureZvOe4yuD,Moss Landing Marine Laboratories - Sunflower Star Laboratory,Q11_1,Aquarium of the Pacific,collaboration
627,R_50sTP7MIe3Y7drH,University of Wisconsin Milwaukee,Q12_1,Aquarium of the Pacific,coordination
716,R_56D6mBrAXbvzaBX,Sonoma State University,Q11_8,Artist 1: Josie Iselin,collaboration
920,R_5J96mgzzSF0Ec4h,The Nature Conservancy,Q12_9,Artist 1: Josie Iselin,coordination
969,R_3uL30uYfPe5PaMU,Tribal Government,Q13_2,Artist 1: Josie Iselin,communication
47,R_7BdO5e21cQnIEsp,California State Parks,Q11_3,Artist 2: Pat Webster,collaboration
110,R_1hs7JSWr4eiznRB,Occidental College - Vantuna Research Group,Q13_3,Artist 3: Roger Carlson,communication
582,R_1NqY8R9wV0B745S,Strategic Earth Consulting,Q12_2,Artist 4: Ron McPeak,coordination
104,R_1hs7JSWr4eiznRB,Occidental College - Vantuna Research Group,Q12_3,Artist 5: Shaun Wolfe,coordination
392,R_3uHTLrh3ea49nmF,California State Polytechnic University Humboldt,Q13_2,Blue Evolution,communication
231,R_3DhYjkyoy2NGWSY,Reef Check,Q11_9,Blue Harmony,collaboration
441,R_1AGjFLTVbTA4HTj,University of California Santa Cruz,Q11_6,Blue Harmony,collaboration
450,R_5CCP2mCIlBo5erq,California State Polytechnic University Pomona,Q11_2,Bureau of Ocean Energy Management,collaboration
100,R_1hs7JSWr4eiznRB,Occidental College - Vantuna Research Group,Q11_9,Bureau of Ocean Energy Management,collaboration
457,R_51QOureZvOe4yuD,Moss Landing Marine Laboratories - Sunflower Star Laboratory,Q11_3,California Academy of Sciences,collaboration
631,R_50sTP7MIe3Y7drH,University of Wisconsin Milwaukee,Q13_2,California Academy of Sciences,communication
174,R_7pg4O4BWvAUGjnI,Moss Landing Marine Laboratories,Q12_4,California Coastal Commission,coordination
550,R_3XLt3StxxpmyZDX,The Nature Conservancy,Q11_2,California Coastal Commission,collaboration
762,R_59T9thuNU6T04lX,University of California Santa Barbara,Q11_1,California Coastal Commission,collaboration
67,R_3qIDU2i8sWSWYdH,Above/Below,Q13_3,California Department of Fish and Wildlife,communication
564,R_6LPMdMvKD0V81Db,Amah Mutsun Land Trust,Q13_2,California Department of Fish and Wildlife,communication
177,R_3fik1PPOQ9o67SN,California Ocean Protection Council,Q11_1,California Department of Fish and Wildlife,collaboration
71,R_3QnZ5K8fvmiL7kI,California Ocean Science Trust,Q13_1,California Department of Fish and Wildlife,communication
772,R_5KVEL7W5XC2QiSl,California Ocean Science Trust,Q12_1,California Department of Fish and Wildlife,coordination
676,R_5vldi5R3qII19F6,California Sea Grant,Q11_1,California Department of Fish and Wildlife,collaboration
28,R_7zc4m6dh9wc0YdK,California State Polytechnic University Humboldt,Q11_2,California Department of Fish and Wildlife,collaboration
665,R_1OwaKPJzCpBm5QR,California State Polytechnic University Humboldt,Q11_2,California Department of Fish and Wildlife,collaboration
449,R_5CCP2mCIlBo5erq,California State Polytechnic University Pomona,Q11_1,California Department of Fish and Wildlife,collaboration
217,R_7JW5UqsrkFfRVRL,California State University Long Beach,Q11_1,California Department of Fish and Wildlife,collaboration
692,R_1F990DdwF6i05R7,Channel Islands National Marine Sanctuary,Q13_2,California Department of Fish and Wildlife,communication
761,R_3jTauwChLV63T1f,Giant Giant Kelp Restoration Project,Q11_2,California Department of Fish and Wildlife,collaboration
791,R_6LhAP9pWdy7X4uu,Giant Giant Kelp Restoration Project,Q11_2,California Department of Fish and Wildlife,collaboration
138,R_3eavCPS10YuL9kK,Greater Farallones Association,Q11_4,California Department of Fish and Wildlife,collaboration
546,R_7wync7TWV8fWjtH,Greater Farallones Association,Q11_7,California Department of Fish and Wildlife,collaboration
447,R_6aIROXxP5g9ceLh,InterTribal Sinkyone Wilderness Council,Q11_1,California Department of Fish and Wildlife,collaboration
483,R_7PdJnlqS6NLYWwf,Monterey Abalone Company,Q13_1,California Department of Fish and Wildlife,communication
844,R_3Tr6wGXEFxtkXGF,Monterey Bay Fisheries Trust,Q11_3,California Department of Fish and Wildlife,collaboration
409,R_3ocCcrb6NY9Nk5I,Monterey Bay National Marine Sanctuary,Q11_1,California Department of Fish and Wildlife,collaboration
167,R_7pg4O4BWvAUGjnI,Moss Landing Marine Laboratories,Q11_6,California Department of Fish and Wildlife,collaboration
292,R_38BizK7TnctWB0Z,Moss Landing Marine Laboratories,Q11_1,California Department of Fish and Wildlife,collaboration
464,R_51QOureZvOe4yuD,Moss Landing Marine Laboratories - Sunflower Star Laboratory,Q12_2,California Department of Fish and Wildlife,coordination
133,R_52444gPAZLZqeP3,National Oceanic and Atmospheric Administration - Office of National Marine Sanctuaries,Q12_1,California Department of Fish and Wildlife,coordination
113,R_3iPGxjt8gAiTFfa,Reef Check,Q11_3,California Department of Fish and Wildlife,collaboration
225,R_3DhYjkyoy2NGWSY,Reef Check,Q11_3,California Department of Fish and Wildlife,collaboration
259,R_3OJIfjza4it1gCi,Reef Check,Q11_2,California Department of Fish and Wildlife,collaboration
286,R_1c7TocEKUk7HhUB,Reef Check,Q12_2,California Department of Fish and Wildlife,coordination
454,R_5PVz3pKxk7VhOlb,Reef Check,Q11_2,California Department of Fish and Wildlife,collaboration
480,R_3bJaYOcvz8vl2Jr,Reef Check,Q13_2,California Department of Fish and Wildlife,communication
502,R_6fiFlBSwa4Khjkl,Reef Check,Q12_1,California Department of Fish and Wildlife,coordination
730,R_1QxOFb6rcRAJfNj,San Diego State University,Q11_3,California Department of Fish and Wildlife,collaboration
584,R_1NqY8R9wV0B745S,Strategic Earth Consulting,Q13_1,California Department of Fish and Wildlife,communication
905,R_5J96mgzzSF0Ec4h,The Nature Conservancy,Q11_4,California Department of Fish and Wildlife,collaboration
634,R_6dMTDBMlEwjuhuO,United States Fish and Wildlife Service,Q11_3,California Department of Fish and Wildlife,collaboration
744,R_6qCLsUIEahCGBGw,University of California Berkeley,Q11_3,California Department of Fish and Wildlife,collaboration
787,R_7GVc2EVkNJq5OuE,University of California Berkeley,Q12_1,California Department of Fish and Wildlife,coordination
831,R_6tLmKtUmSAbqmXf,University of California Berkeley,Q12_3,California Department of Fish and Wildlife,coordination
955,R_37vKJWxcl9TGyAh,University of California Davis,Q11_2,California Department of Fish and Wildlife,collaboration
266,R_5dnbJSY7qhuMdsB,University of California Santa Barbara,Q11_1,California Department of Fish and Wildlife,collaboration
767,R_59T9thuNU6T04lX,University of California Santa Barbara,Q11_6,California Department of Fish and Wildlife,collaboration
437,R_1AGjFLTVbTA4HTj,University of California Santa Cruz,Q11_2,California Department of Fish and Wildlife,collaboration
629,R_50sTP7MIe3Y7drH,University of Wisconsin Milwaukee,Q12_3,California Department of Fish and Wildlife,coordination
695,R_7L1g8rvgxtmyocF,Woods Hole Oceanographic Institution,Q11_1,California Department of Fish and Wildlife,collaboration
549,R_3XLt3StxxpmyZDX,The Nature Conservancy,Q11_1,California Department of Fish and Wildlife - Marine Region,collaboration
512,R_6Xyvl60kUELNc89,University of California Davis,Q12_1,California Department of Fish and Wildlife - Marine Region,coordination
435,R_114CKH20kM3vmaH,University of California Davis - Kelp Restoration as an Integrated Socio Ecological System,Q13_4,California Department of Fish and Wildlife - Marine Region,communication
533,R_7dQ9uX1Ovk6Kwdf,Channel Islands National Marine Sanctuary,Q11_2,California Department of Fish and Wildlife: Anthony Shiao,collaboration
404,R_6MY7AcdWIwKItCE,Watermen's Alliance,Q13_5,California Department of Fish and Wildlife: Derek Stein,communication
324,R_5rju7W12HtPajKX,California State Polytechnic University Humboldt: Northcoast Evaluation of Reef Ecosystems Organization,Q12_6,California Department of Fish and Wildlife: Ian Kelmartin,coordination
640,R_6u3YTDhcZ4dOrtv,California Sea Grant,Q11_3,California Department of Fish and Wildlife: Kirsten Ramey,collaboration
2,R_1MEiTDdy7UTusoz,University of California Santa Barbara,Q11_1,California Department of Fish and Wildlife: Kirsten Ramey,collaboration
639,R_6u3YTDhcZ4dOrtv,California Sea Grant,Q11_2,California Department of Fish and Wildlife: Kristen Elsmore,collaboration
323,R_5rju7W12HtPajKX,California State Polytechnic University Humboldt: Northcoast Evaluation of Reef Ecosystems Organization,Q12_5,California Department of Fish and Wildlife: Kristen Elsmore,coordination
160,R_1LLVDCfsYqnIq9H,Get Inspired,Q13_2,California Department of Fish and Wildlife: Kristen Elsmore,communication
931,R_7TCeiJcmXqj5D3j,Greater Farallones Association,Q11_3,California Department of Fish and Wildlife: Kristen Elsmore,collaboration
44,R_3SqxcM3L5G1Hkiy,Sea Otter Savvy,Q13_4,California Department of Fish and Wildlife: Kristen Elsmore,communication
709,R_56D6mBrAXbvzaBX,Sonoma State University,Q11_2,California Department of Fish and Wildlife: Kristen Elsmore,collaboration
192,R_1GBVWsZocl0VprB,The Cultured Abalone Farm,Q11_1,California Department of Fish and Wildlife: Kristen Elsmore,collaboration
